,Job Title,Salary Estimate,Job Description,Skills,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,cloud,excel,sql,machine_learning,statistics,salary_range,job_simp,seniority,desc_len
246,Data Scientist,$73K - $129K (Glassdoor est.),"Master’s Degree in computer science, applied/computational mathematics, engineering, biostatistics, statistics, or a quantitative field such as astronomy or……","Skills: TensorFlow, Statistics, Computer science, Signal processing, R",4.1,Yale University,"New Haven, CT",10000+ Employees,1701,Nonprofit Organization,Colleges & Universities,Education,Unknown / Non-Applicable,0,73.0,129.0,101.0,Yale Univers,CT,323,0,1,0,0,1,0,0,1,56.0,data scientist,na,158
247,Staff Data Scientist,$174K - $222K (Glassdoor est.),"Conduct research, experimentation, and implementation of state-of-the-art traditional machine learning techniques and frameworks to address complex challenges.…","Skills: Pricing, AWS, Machine learning, Forecasting, APIs",4.7,Hypersonix,"San Jose, CA",1 to 50 Employees,2019,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,0,174.0,222.0,198.0,Hyperso,CA,5,0,1,0,1,1,0,1,0,48.0,data scientist,na,160
248,Operations Data Scientist,$130K - $260K (Employer est.),Work with data engineers to develop data pipelines and ensure data quality. Experience with data visualization tools and techniques.…,"Skills: R, SQL, Analysis skills, Regression analysis, A/B testing",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,130.0,260.0,195.0,Tik,CA,8,0,1,0,0,1,1,0,0,130.0,data scientist,na,133
249,Data Scientist,$90K - $115K (Employer est.),"REB uses social science research, scientific methods and data science to inform, improve or evaluate the delivery of public safety services for all District……","Skills: SAS, R, Stata, SQL, C",3.4,Metropolitan Police Department,"Washington, DC",1001 to 5000 Employees,1861,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,0,90.0,115.0,102.5,Metropolitan Police Departm,DC,163,0,1,0,0,1,1,0,0,25.0,data scientist,na,158
250,Data Scientist,$98K - $209K (Employer est.),"Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 5+ years data……","Skills: Pricing, R, Microsoft SQL Server, SQL, Analysis skills",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,98.0,209.0,153.5,Micros,WA,49,0,1,0,0,1,1,0,0,111.0,data scientist,na,160
251,Data Scientist,$143K - $264K (Employer est.),You will gain a deep understanding of various Apple algorithms and be tasked with performing deep-dive failure analysis on data from telemetry (on-device……,"Skills: Cloud infrastructure, Computer vision, Data analysis skills, Tableau, SQL",4.1,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,143.0,264.0,203.5,Ap,CA,48,0,1,0,0,1,1,0,0,121.0,data scientist,na,155
252,Data Scientist - TikTok Live Streaming & RTC Products,$130K - $240K (Employer est.),"Perform data analysis based on business requirements, support data analysis for special projects, and provide ongoing data analysis support.…","Skills: Data mining, R, Data analysis skills, SQL, Attribution modeling",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,130.0,240.0,185.0,Tik,CA,8,0,1,0,0,1,1,0,0,110.0,data scientist,na,141
253,People Analytics Data Scientist,$133K - $209K (Employer est.),"Stay current with industry trends and best practices in people analytics and data science, and contribute to the development of new methodologies and tools.…","Skills: Statistical software, Statistics, R, SQL, Machine learning",4.0,Takeda Pharmaceutical,"Lexington, MA",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,133.0,209.0,171.0,Takeda Pharmaceuti,MA,243,0,1,0,0,1,1,1,1,76.0,data scientist,na,157
254,Machine Learning Engineer,$158K - $176K (Employer est.),"Bachelor's degree or equivalent in Computer Science, Engineering, Mathematics or related field, with 2+ years of full-time engineering experience or PhD new……","Skills: TensorFlow, Go, Spark, Apache Hive, Java",3.9,Uber,"Seattle, WA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,158.0,176.0,167.0,U,WA,15,0,1,1,0,1,0,0,0,18.0,mle,na,158
255,Data Scientist II (Hybrid),$109K - $154K (Glassdoor est.),"Familiar with statistical analysis techniques, such as chi-squared test, t-test, ANOVA, regression analysis, sampling design, and time series; able to draw……","Skills: Power BI, Management, SAS, R, Data analysis skills",3.4,American Medical Association,"Chicago, IL",501 to 1000 Employees,1847,Nonprofit Organization,Membership Organizations,Management & Consulting,$100 to $500 million (USD),0,109.0,154.0,131.5,American Medical Associat,IL,177,0,1,0,0,1,0,0,0,45.0,data scientist,na,157
256,"Data Scientist, Fraud & Risk",$165K - $185K (Employer est.),"Explain technical choices, model limitations and trade-offs in a cross functional risk evaluation forums. Desire and ability to mentor junior Data Scientists……","Skills: R, SQL, Machine learning, Data science, Communication skills",4.1,Wealthfront,"Palo Alto, CA",-1,2011,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,165.0,185.0,175.0,Wealthfr,CA,13,0,1,0,0,1,1,1,0,20.0,data scientist,na,159
257,Applied Scientist II,$82K - $175K (Employer est.),"Bachelor's Degree in Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field AND relevant internship experience (e.g.,……","Skills: TensorFlow, Statistics, Computer science, Azure, Machine learning",4.2,Microsoft,"Atlanta, GA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,82.0,175.0,128.5,Micros,GA,49,0,1,0,1,1,0,1,1,93.0,na,na,161
258,"AIML - Sr Data Scientist, AIML Data",$143K - $264K (Employer est.),"Advanced degree in a quantitative field such as Statistics, Operational Research, Bioinformatics, Economics, Psychology, Computer Science, Sociology,……","Skills: Data structures, Spark, R, Data analysis skills, SQL",4.1,Apple,"Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,143.0,264.0,203.5,Ap,CA,48,0,1,1,0,1,1,0,0,121.0,data scientist,senior,151
259,"Decision Scientist, Product Analytics",$80K - $100K (Employer est.),"Bachelor’s degree in Analytics, Statistics, Economics or related field required. Own analytics requests and independent projects end-to-end under guidance from……","Skills: Spark, R, Data analysis skills, Git, Apache Hive",3.1,Ibotta,"Denver, CO",501 to 1000 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,80.0,100.0,90.0,Ibo,CO,12,0,1,1,0,1,0,0,0,20.0,na,na,161
260,Statistician- Hybrid,$33.29 - $59.15 Per Hour (Employer est.),"Working skills in statistical analysis, systems programming, database design and data security measures. Master's degree in Statistics or related field.…","Skills: Microsoft Powerpoint, Microsoft Excel, Biostatistics, Writing skills, R",3.9,UC San Diego Health,"San Diego, CA",10000+ Employees,1966,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,66.58,118.3,46.22,UC San Diego Hea,CA,58,0,1,0,0,1,0,0,1,25.86,na,na,153
261,Data Scientist,$84K (Employer est.),"Work as part of a small team and alone on help desk taskings and ticketing data flows, report generation, and dashboard visualization of key performance……","Skills: Microsoft Access, Visual Basic, SAS, Microsoft SQL Server, Technical support",3.6,Chenega Corporation,Virginia,5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),0,84.0,84.0,84.0,Chenega Corporat,,50,0,1,0,0,1,1,0,0,0.0,data scientist,na,154
262,Sr Data Scientist,$89K - $160K (Employer est.),"Bachelor’s degree and 3 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field……","Skills: Statistics, Computer science, Machine learning, Distributed systems, Communication skills",4.0,HCSC,"Chicago, IL",10000+ Employees,1936,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,89.0,160.0,124.5,H,IL,88,0,1,0,0,1,0,1,1,71.0,data scientist,senior,162
263,Data Scientist,$230K - $250K (Employer est.),Expertise in data manipulation and analysis using SQL and standard data analysis tools such as Pandas or Jupyter Notebooks.…,"Skills: TensorFlow, Big data, Spark, R, Databases",3.4,Integrated Research,"Denver, CO",201 to 500 Employees,1988,Company - Public,Computer Hardware Development,Information Technology,$25 to $100 million (USD),0,230.0,250.0,240.0,Integrated Resea,CO,36,0,1,1,0,1,0,0,0,20.0,data scientist,na,124
264,Data Scientist for Energy,$65K - $118K (Employer est.),"Bachelor's degree in Computer Science, Data Science or related field and two plus (2+)years of relevant experience (including coursework).…","Skills: TensorFlow, Electrical engineering, Machine learning, Natural language processing, AI",3.9,Leidos,Texas,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,65.0,118.0,91.5,Lei,,55,0,1,0,0,1,0,1,0,53.0,data scientist,na,139
